Case Title,Petitioner,Respondent,Year,Date of Judgment,Bench,Case Type,Statutes Referenced,Citation,Outcome,Headnote,PDF_File,Folder,FullText_Sample
The State Of Bombay And Another vs The United Motors India Ltd And,THE STATE OF BOMBAY AND ANOTHER,THE UNITED MOTORS (INDIA) LTD. AND OTHERS.UNION,1953,30 March 1953,,,Article 286; Article  286,1953 AIR 252; 1953 SCR 1069,,"The Legislature of Bombay passed an Act entitled the Bombay Sales Tax Act, 1952, which imposed (by s. 5) a general tax on every dealer whose turnover in respect of The State Of Bombay And Another vs The United Motors (India) Ltd. And ... on 30 March, 1953 Indian Kanoon - http://indiankanoon.org/doc/",The_State_Of_Bombay_And_Another_vs_The_United_Motors_India_Ltd_And_on_30_March_1953_1.PDF,1953,"The State Of Bombay And Another vs The United Motors (India)
Ltd. And ... on 30 March, 1953
Equivalent citations: 1953 AIR 252, 1953 SCR 1069, AIR 1953 SUPREME
COURT 252, 1966 MADLW 577
Author: M. Patanjali Sastri
Bench: M. Patanjali Sastri, B.K. Mukherjea, Vivian Bose, Ghulam Hasan,
Natwarlal H. Bhagwati
           PETITIONER:
THE STATE OF BOMBAY AND ANOTHER
        Vs.
RESPONDENT:
THE UNITED MOTORS (INDIA) LTD. AND OTHERS.UNION
DATE OF JUDGMENT:
30/03/1953
BENCH:
SASTRI, M. PATANJALI (CJ)
BENCH:
SASTRI, M. PATANJALI (CJ)
MUKHERJEA, B.K.
BOSE, VIVIAN
HASAN, GHULAM
BHAGWATI, NATWARLAL H.
CITATION:
 1953 AIR  252            1953 SCR 1069
 CITATOR INFO :
 R          1953 SC 274  (6)
 R          1953 SC 333  (7,24,60)
 R          1954 SC 403  (7)
 O          1955 SC 661  (5,8,10,16,18,21,23,26,28,29,
 RF         1955 SC 765  (6,32)
 F          1957 SC 628  (12,15,19,20)
 RF         1957 SC 790  (10)
 F          1958 SC 328  (22)
 E          1958 SC 452  (9,14)
 RF         1958 SC 468  (8,9,17,24,28,29,30,31,39,52,
 R          1958 SC 560  (14,32)
 F          1958 SC 643  (5,17)
 E&F        1959 SC 725  (10)
 R          1960 SC 378  (3,4,11)
 F          1961 SC  65  (5,9,22,45,49,57)
The State Of Bombay And Another vs The United Motors (India) Ltd. And ... on 30 March, 1953
Indian Kanoon - http://indiankanoon.org/doc/424874/
1
 R          1961 SC 232  (57)
 D          1961 SC 311  (8)
 R          1961 SC 315  (21)
 F          1961 SC 347  (7,24,25)
 RF         1961 SC 402  (4,5,6"
Himmatlal Harilal Mehtav vs The State Of Madhya Pradesh And Othe,HIMMATLAL HARILAL MEHTAV,THE STATE OF MADHYA PRADESH AND OTHE,1954,16 March 1954,,,article 301; article 19(1); article 32; article 286; article 132(1),1954 AIR 403; 1954 SCR 1122,,"Held, (i) that explanation II to s. 2(g) of the Central Provinces and Berar Sales Tax Act (Act XXI of 1947) as amended by Central Provinces and Berar Act (Act XVI of 1949) is ultra vires the State Legislature. (ii) A threat by the State to realize tax from the assesses without the authority of law b",Himmatlal_Harilal_Mehtav_vs_The_State_Of_Madhya_Pradesh_And_Othe_on_16_March_1954_1.PDF,1954,"Himmatlal Harilal Mehtav vs The State Of Madhya Pradesh And
Othe on 16 March, 1954
Equivalent citations: 1954 AIR 403, 1954 SCR 1122, AIR 1954 SUPREME
COURT 403, 1967 MADLW 629
Author: Mehar Chand Mahajan
Bench: Mehar Chand Mahajan, B.K. Mukherjea, Vivian Bose, Ghulam Hasan
           PETITIONER:
HIMMATLAL HARILAL MEHTAV
        Vs.
RESPONDENT:
THE STATE OF MADHYA PRADESH AND OTHE
DATE OF JUDGMENT:
16/03/1954
BENCH:
MAHAJAN, MEHAR CHAND (CJ)
BENCH:
MAHAJAN, MEHAR CHAND (CJ)
MUKHERJEA, B.K.
DAS, SUDHI RANJAN
BOSE, VIVIAN
HASAN, GHULAM
CITATION:
 1954 AIR  403            1954 SCR 1122
 CITATOR INFO :
 F          1955 SC 661  (5,8,60,123,145)
 R          1955 SC 765  (5)
 R          1957 SC 397  (14)
 R          1957 SC 790  (10)
 RF         1958 SC 578  (228)
 RF         1959 SC 725  (10)
 D          1960 SC 424  (14)
 RF         1961 SC  65  (5)
 R          1961 SC1615  (11)
 R          1962 SC 123  (12)
 RF         1962 SC1006  (77)
 R          1962 SC1621  (10,12,39,44,45,46,110)
 R          1967 SC1401  (8)
 D          1971 SC2280  (11)
 F          1975 SC1443  (6)
Himmatlal Harilal Mehtav vs The State Of Madhya Pradesh And Othe on 16 March, 1954
Indian Kanoon - http://indiankanoon.org/doc/1385734/
1
ACT:
  Constitution  of  India, arts, 19(1)(g),  226,  286(1)(a)-
Central  Provinces  and  Berar Sales Tax Act  (Act   XXI  of
1947),  as  amended by, Act XVI of  1949-Explanation  II  to
section 2(g)-Whether ultra vires the Constitution-Threat  to
use  coercive  machinery of A"
Shri Audh Behari Singh vs Gajadhar Jaipuria And Others,SHRI AUDH BEHARI SINGH,GAJADHAR JAIPURIA AND OTHERS.,1954,23 April 1954,,,,1955 SCR 70; 1954 AIR 417; AIR 1954 SC 417,,"HEld, that a local custom of pre-emption exists in the city of Banaras and the right attaches at least to all house properties situated within it and no such incident of custom Shri Audh Behari Singh vs Gajadhar Jaipuria And Others on 23 April, 1954 Indian Kanoon - http://indiankanoon.org/doc/149259",Shri_Audh_Behari_Singh_vs_Gajadhar_Jaipuria_And_Others_on_23_April_1954_1.PDF,1954,"Shri Audh Behari Singh vs Gajadhar Jaipuria And Others on 23
April, 1954
Equivalent citations: 1954 AIR 417, 1955 SCR 70, AIR 1954 SUPREME COURT
417
Author: B.K. Mukherjea
Bench: B.K. Mukherjea, Mehar Chand Mahajan, Vivian Bose, Natwarlal H.
Bhagwati
           PETITIONER:
SHRI AUDH BEHARI SINGH
        Vs.
RESPONDENT:
GAJADHAR JAIPURIA AND OTHERS.
DATE OF JUDGMENT:
23/04/1954
BENCH:
MUKHERJEA, B.K.
BENCH:
MUKHERJEA, B.K.
AIYYAR, T.L. VENKATARAMA
MAHAJAN, MEHAR CHAND (CJ)
BOSE, VIVIAN
BHAGWATI, NATWARLAL H.
CITATION:
 1954 AIR  417            1955 SCR   70
 CITATOR INFO :
 RF         1962 SC1476  (3,22,25,31)
 R          1966 SC1977  (3,6)
ACT:
   Custom-Pre-emption-City  of Banaras-Local Custom of  Pre-
emption-Such  right-Incident  of property and  attaching  to
land.
HEADNOTE:
   HEld,  that a local custom of pre-emption exists  in  the
city of Banaras and the right attaches at least to all house
properties situated within it and no such incident of custom
Shri Audh Behari Singh vs Gajadhar Jaipuria And Others on 23 April, 1954
Indian Kanoon - http://indiankanoon.org/doc/1492591/
1
is proved which would make the right available only  between
persons  who are either natives of Banaras or are  domiciled
therein.
When a right of pre-emption rests upon custom it becomes the
lex  loci  or  the law of the place and  affects  all  lands
situated  in  that  place irrespective of  the  religion  or
nationality  or domicile of the owners of the  lands  except
where  such incidents a"
The Bengal Immunity Company Limited vs The State Of Bihar And Others,THE BENGAL IMMUNITY COMPANY LIMITED,THE STATE OF BIHAR AND OTHERS.,1954,4 December 1954,,,article 246(3); article 286; article 286(1); Article 286(2); article 226,,,"The appellant company, having its registered office in Calcutta and its factory and laboratory in the District of 24-Parganas in West Bengal, carried on the business of manufacturing and selling sera, vaccines, biological products and medicines. It was registered as a dealer under the Bengal Finance",The_Bengal_Immunity_Company_Limited_vs_The_State_Of_Bihar_And_Others_on_4_December_1954_1.PDF,1954,"The Bengal Immunity Company Limited vs The State Of Bihar
And Others on 4 December, 1954
           PETITIONER:
THE BENGAL IMMUNITY COMPANY LIMITED
        Vs.
RESPONDENT:
THE STATE OF BIHAR AND OTHERS.
DATE OF JUDGMENT:
04/12/1954
BENCH:
ACT:
Constitution  of India-Arts. 141, 226, 286(1), (2) and  (3)-
Art.  286(1)(a) read with the  Explanation-Construction  of-
Whether  controlled  by  Art.  286(2)-Situs  of  a  sale  or
purchase determined by general law or created by fiction  in
the  Explanation-Whether  relevant for  ascertaining  inter-
State  character of such sale or purchase Appellant  company
registered in Calcutta-Bihar Sales Tax Act, 1947 (Bihar  Act
XIX of 1947)-S. 13-Whether appellant company liable to Sales
Tax-Where goods delivered in the State of Bihar as a  direct
result  of sale for purposes of consumption there-Art.  226-
Petition thereunder-Maintainability of-Supreme Court whether
competent to modify or review its prior decisions-Art.  141-
Meaning of-Bihar Sales Tax Act, 1947, s. 33-Taxing sales  or
purchases  taking place in the course of inter-State  trade-
Vilidity of-Act whether wholly ultra vires and void.
HEADNOTE:
The  appellant  company,  having its  registered  office  in
Calcutta  and its factory and laboratory in the District  of
24-Parganas  in  West  Bengal, carried on  the  business  of
manufacturing   and  selling  sera,   vaccines,   biological
products and medicines.  It was registered as a dealer under
the  Bengal  Finance (Sales Tax) A"
The Commissioner Of Income Tax Madras vs Mysore Chromite Limited,"THE COMMISSIONER OF INCOME-TAX, MADRAS",MYSORE CHROMITE LIMITED.,1954,1 November 1954,,,,1955 AIR 98,confirmed,"The assessee company with its registered office in Mysore State and its management vested in Oakley Bowden Co. Ltd.,Madras sold Chrome ore to buyers mostly outside India who were in America and Europe. The sales to the purchasers in Europe were put through in London by Borden Oakely and Co. Ltd., Lo",The_Commissioner_Of_Income_Tax_Madras_vs_Mysore_Chromite_Limited_on_1_November_1954_1.PDF,1954,"The Commissioner Of Income-Tax, Madras vs Mysore Chromite
Limited on 1 November, 1954
Equivalent citations: 1955 AIR 98, 1955 SCR (1) 849, AIR 1955 SUPREME
COURT 98
Bench: Mehar Chand Mahajan, Ghulam Hasan, Natwarlal H. Bhagwati
           PETITIONER:
THE COMMISSIONER OF INCOME-TAX, MADRAS
        Vs.
RESPONDENT:
MYSORE CHROMITE LIMITED.
DATE OF JUDGMENT:
01/11/1954
BENCH:
DAS, SUDHI RANJAN
BENCH:
DAS, SUDHI RANJAN
MAHAJAN, MEHAR CHAND (CJ)
HASAN, GHULAM
BHAGWATI, NATWARLAL H.
CITATION:
 1955 AIR   98            1955 SCR  (1) 849
ACT:
Indian  Income-tax Act, 1922 (Act XI of 1922), s.  4-Profits
derived  by the assessee- Whether arose or were received  in
British Indian in the present case.
HEADNOTE:
The  assessee company with its registered office  in  Mysore
State  and  its  management  vested  in  Oakley  Bowden  Co.
Ltd.,Madras  sold Chrome ore to buyers mostly outside  India
who were in America and Europe.  The sales to the purchasers
in  Europe were put through in London by Borden  Oakely  and
Co.  Ltd.,  London,  the agent of the  assessee  company  in
Europe,  the  said agent signing the contracts for  sale  in
London.   The sales to purchasers in America  were  effected
through  W.  R.  Grace  & Co., New,  York,  who  bought  for
undisclosed  principals, the contracts for sale to  American
purchasers  being  signed by W. R. Grace &  Co.,  Ltd.,  New
The Commissioner Of Income-Tax, Madras vs Mysore Chromite Limited on 1 November, 1954
Indian Kanoon - http://indiankanoo"
The Sales Tax Officer Pilibhit vs Messrs Budh Prakash Jai Prakash,"THE SALES TAX OFFICER, PILIBHIT",MESSRS. BUDH PRAKASH JAI PRAKASH.,1954,3 May 1954,,,article 133(1),1954 AIR 459; 1955 SCR 1133,,"Held, that there is a well-defined and well-established distinction between a sale and an agreement to sell. The words ""Taxes on the sale of goods"" in entry No. 48, List II, Schedule VII of the Government of India Act, 1935, confer power on the Provincial Legislature to impose a tax only when there ",The_Sales_Tax_Officer_Pilibhit_vs_Messrs_Budh_Prakash_Jai_Prakash_on_3_May_1954_1.PDF,1954,"The Sales Tax Officer, Pilibhit vs Messrs. Budh Prakash Jai
Prakash on 3 May, 1954
Equivalent citations: 1954 AIR 459, 1955 SCR 1133, AIR 1954 SUPREME
COURT 459, 1967 MADLW 1144
Bench: Mehar Chand Mahajan, B.K. Mukherjea, Vivian Bose, Natwarlal H.
Bhagwati
           PETITIONER:
THE SALES TAX OFFICER, PILIBHIT
        Vs.
RESPONDENT:
MESSRS. BUDH PRAKASH JAI PRAKASH.
DATE OF JUDGMENT:
03/05/1954
BENCH:
AIYYAR, T.L. VENKATARAMA
BENCH:
AIYYAR, T.L. VENKATARAMA
MAHAJAN, MEHAR CHAND (CJ)
MUKHERJEA, B.K.
BOSE, VIVIAN
BHAGWATI, NATWARLAL H.
CITATION:
 1954 AIR  459            1955 SCR 1133
 CITATOR INFO :
 R          1955 SC 661  (88,131,147)
 D          1958 SC 452  (9)
 R          1958 SC 560  (14,21)
 F          1958 SC 764  (5,6,8)
 E          1959 SC 135  (4,27)
 RF         1961 SC1065  (4)
 RF         1961 SC1534  (11)
 R          1962 SC1037  (10)
 F          1963 SC1207  (43,50)
 R          1965 SC1082  (9,14,16)
 RF         1967 SC1895  (247)
 RF         1970 SC 898  (46)
 R          1976 SC1016  (9)
 E          1978 SC 449  (29,42,52)
 D          1985 SC1293  (43)
 RF         1986 SC1556  (4,23,29)
 RF         1990 SC 313  (23)
The Sales Tax Officer, Pilibhit vs Messrs. Budh Prakash Jai Prakash on 3 May, 1954
Indian Kanoon - http://indiankanoon.org/doc/127667/
1
ACT:
Government of India Act, 1935, Schedule VII, List II,  entry
No.  48-Sale of goods-Meaning of---U.  P. Sales Tax Act  (Xv
Of  1948),  s.  2(h)-Explanation  III  to  s.  2(h)  and  s.
3B--Ultra vires Provincia"
A Thangal Kunju Musaliar vs M Venkitachalam Potti And,A. THANGAL KUNJU MUSALIAR,M. VENKITACHALAM POTTI AND ANOTHER(with connected appeal),1955,20 December 1955,,,Article 133(1); article 133; Article  14; Article 226,1956 AIR 246,,"The petitioners native of Quilon within the Travancore State -had been assessed to income-tax for the years 1942 and 1943, the final orders in his assessment having been passed by the Chief Revenue authority of Travancore in December 1946 and November 1946 respectively. Travancore Taxation on Income",A_Thangal_Kunju_Musaliar_vs_M_Venkitachalam_Potti_And_on_20_December_1955_1.PDF,1955,"A. Thangal Kunju Musaliar vs M. Venkitachalam Potti And ... on
20 December, 1955
Equivalent citations: 1956 AIR 246, 1955 SCR (2)1196, AIR 1956 SUPREME
COURT 246
Author: Natwarlal H. Bhagwati
Bench: Natwarlal H. Bhagwati, Vivian Bose, B. Jagannadhadas, Bhuvneshwar
P. Sinha
           PETITIONER:
A.   THANGAL KUNJU MUSALIAR
        Vs.
RESPONDENT:
M.   VENKITACHALAM POTTI AND ANOTHER(with connected appeal)
DATE OF JUDGMENT:
20/12/1955
BENCH:
BHAGWATI, NATWARLAL H.
BENCH:
BHAGWATI, NATWARLAL H.
DAS, SUDHI RANJAN
BOSE, VIVIAN
JAGANNADHADAS, B.
SINHA, BHUVNESHWAR P.
CITATION:
 1956 AIR  246            1955 SCR  (2)1196
ACT:
Constitution  of  India-Article  14-Travancore  Taxation  on
Income  (Investigation  Commission)  Act,  1124(Act  XIV  of
1124),  s.  5(1)-Whether ultra vires  the  Constitution-Read
along with s. 47(1) of Travancore Income-Tax Act, 1121  (Act
XXIII  of  1121)High Court-Jurisdiction-Article 226  of  the
Constitution-Writ   Petition  against  authorise   Official-
Appointed  under s. 6 of the Travancore Act (XIV  of  1124)-
Investigation   Commission-Whether   competent   under   the
provisions of the Travancore Act XIV of 1124 to  investigate
cases not referred to it by Government.
A. Thangal Kunju Musaliar vs M. Venkitachalam Potti And ... on 20 December, 1955
Indian Kanoon - http://indiankanoon.org/doc/407809/
1
HEADNOTE:
The petitioners native of Quilon within the Travancore State
-had  been  assessed to income-tax for the  years  1942  and
1943, the final "
Bengal Immunity Co Ltd vs State Of Bihar Ors,BENGAL IMMUNITY CO. LTD.,STATE OF BIHAR & ORS.,1955,6 September 1955,,,"article 31; article 19(1); article 246(3); article
286; article 286",,,,Bengal_Immunity_Co_Ltd_vs_State_Of_Bihar_Ors_on_6_September_1955_1.PDF,1955,"Bengal Immunity Co. Ltd vs State Of Bihar & Ors on 6
September, 1955
Bench: V. Bose, N.H. Bhagwati, B. Jagannadhadas
           CASE NO.:
Appeal (civil)  159 of 1953
PETITIONER:
BENGAL IMMUNITY CO. LTD.
RESPONDENT:
STATE OF BIHAR & ORS.   
DATE OF JUDGMENT: 06/09/1955
BENCH:
S.R. DAS & V. BOSE & N.H. BHAGWATI & B. JAGANNADHADAS & T.L.V. AIYYAR &
B.P. SINHA & S.J. IMAM
JUDGMENT:
JUDGMENT 1955 ( 2 ) SCR 603 The Judgment was delivered by : Hon'ble Justice S. R. Das, Hon'ble
Justice Bhagwati, Hon'ble Justice Jagannath Das, Hon'ble Justice Venkatarama Ayyar And Hon'ble
Justice B. P. Sinha The judgment of S. R. Das, Bose and Jafer Imam JJ. was delivered by S. R. Das
Acting Chief Justice. Bhagwati, Jagannadhadas, Venkatarama Ayyar and B. P. Sinha JJ, delivered
separate judgments, DAS ACTG. C.J.-This appeal, filed under a certificate of fitness granted by the
High Court of Patna, is directed against the judgment of that High Court pronounced on the 4th
December 1952 whereby it dismissed the application made by the appellant company under article
226 of the Constitution praying for ,an appropriate writ or order quashing ""the proceedings issued
by the opposite parties for the purpose of levying and realising a tax which is not lawfully leviable on
the petitioners"" and for other ancillary reliefs.
The relevant facts appearing from the petition filed in support of the appellant company's aforesaid
application are as follows:
The appellant company is an incorporated company carrying on th"
Jugal Kishore Rameshwardas vs Mrs Goolbai Hormusji,JUGAL KISHORE RAMESHWARDAS,MRS. GOOLBAI HORMUSJI,1955,4 October 1955,,,article 133(1),1955 AIR 812,,"The appellants share-broker carrying on business in the City of Bombay and a member of the Native Share and Stock Jugal Kishore Rameshwardas vs Mrs. Goolbai Hormusji on 4 October, 1955 Indian Kanoon - http://indiankanoon.org/doc/1644888/ 1 Brokers'",Jugal_Kishore_Rameshwardas_vs_Mrs_Goolbai_Hormusji_on_4_October_1955_1.PDF,1955,"Jugal Kishore Rameshwardas vs Mrs. Goolbai Hormusji on 4
October, 1955
Equivalent citations: 1955 AIR 812, 1955 SCR (2) 857, AIR 1955 SUPREME
COURT 812, 1956 SCJ 64 1958 BOM LR 486, 1958 BOM LR 486
Bench: Natwarlal H. Bhagwati, Bhuvneshwar P. Sinha
           PETITIONER:
JUGAL KISHORE RAMESHWARDAS
        Vs.
RESPONDENT:
MRS.  GOOLBAI HORMUSJI
DATE OF JUDGMENT:
04/10/1955
BENCH:
AIYYAR, T.L. VENKATARAMA
BENCH:
AIYYAR, T.L. VENKATARAMA
BHAGWATI, NATWARLAL H.
SINHA, BHUVNESHWAR P.
CITATION:
 1955 AIR  812            1955 SCR  (2) 857
ACT:
Bombay  Securities Contracts Control Act, 1925  (Bombay  Act
VIII of 1925)-Ss. 3(4) and 6-Sale and purchase of securities
by  appellant  on behalf of respondent-Dispute  between  the
parties  whether appellant was acting within  his  authority
when  he  purchased  the  shares-Relationship  between   the
parties  that of principal and agent and not that of  seller
and purchaser-Whether falls within purview of s.  6-Contract
notes sent by brokers to their constituent-Mere  intimations
by  brokers  to constituent-That contract had  been  entered
into -Arbitration agreement-Essentials thereof-Rules  framed
by Native Share and Stock Brokers' Association-Complete code
by   themselves   Rule  167-Whether  contract   notes   void
thereunder.
HEADNOTE:
The appellants share-broker carrying on business in the City
of  Bombay  and  a  member of the  Native  Share  and  Stock
Jugal Kishore Rameshwardas vs Mrs. Goolbai Hormusji on 4 October, 1955
Indian Kan"
M S Ram Narain Sons Ltd vs Asst Commissioner Of Sales Tax And,M/S. RAM NARAIN SONS LTD.,ASST. COMMISSIONER OF SALES TAX AND OTHERS(and other cases),1955,20 September 1955,,,Article  286; Article  286(1); Article 226; Article 286(1); article 132(1),1955 AIR 765,,"Held, per S. B. DAs ACTING CHIEF JUSTICE, BHGWATI,JAFER IMAM and CHANDRASEKHARA AIYAR JJ. (JAGANNADHADAS J. 484 dissenting). The bans imposed by Article 286 of the Constitution on the taxing powers of the States are independent and separate and each one of them has to be got",M_S_Ram_Narain_Sons_Ltd_vs_Asst_Commissioner_Of_Sales_Tax_And_on_20_September_1955_1.PDF,1955,"M/S. Ram Narain Sons Ltd vs Asst. Commissioner Of Sales Tax
And ... on 20 September, 1955
Equivalent citations: 1955 AIR 765, 1955 SCR (2) 483, AIR 1955 SUPREME
COURT 765
Author: Natwarlal H. Bhagwati
Bench: Natwarlal H. Bhagwati, B. Jagannadhadas, Syed Jaffer Imam
           PETITIONER:
M/S.  RAM NARAIN SONS LTD.
        Vs.
RESPONDENT:
ASST.  COMMISSIONER OF SALES TAX AND OTHERS(and other cases)
DATE OF JUDGMENT:
20/09/1955
BENCH:
BHAGWATI, NATWARLAL H.
BENCH:
BHAGWATI, NATWARLAL H.
AIYAR, N. CHANDRASEKHARA
DAS, SUDHI RANJAN
JAGANNADHADAS, B.
IMAM, SYED JAFFER
CITATION:
 1955 AIR  765            1955 SCR  (2) 483
ACT:
  Constitution of India-Article 286(2)-Proviso  thereto-Whe-
ther the proviso is meant to lift the ban only under Article
286(2)  and  no other-And thus does not lift the  ban  under
Article  286(1)(a)  read  with  the   Explanation-Assessment
consisting of a single undivided sum in respect of  totality
of  property-Wrongful inclusion therein of certain  item  of
property  expressly  exempted  from  taxation-Legal   effect
thereof-Central  Provinces and Berar Act 1947 (XXI of  1947)
-Explanation II to Section 2(g) as originally enacted-before
its  amendment  by  Madhya Pradesh Act  IV  of  1951-Whether
offended Article 286(1)(a) read with the Explanation-Whether
the  President's order issued under the proviso  to  Article
286(2) protected the same.
M/S. Ram Narain Sons Ltd vs Asst. Commissioner Of Sales Tax And ... on 20 September, 1955
Indian Kanoon - http://"
Chunilal Khushaldas Patel vs H K Adhyaru And Ors,Chunilal Khushaldas Patel,H.K. Adhyaru And Ors.,1956,14 February 1956,,,Article 133(1),AIR 1956 SC 655,,,Chunilal_Khushaldas_Patel_vs_H_K_Adhyaru_And_Ors_on_14_February_1956_1.PDF,1956,"Chunilal Khushaldas Patel vs H.K. Adhyaru And Ors. on 14
February, 1956
Equivalent citations: AIR1956SC655, AIR 1956 SUPREME COURT 655
JUDGMENT
Bhagawati, J.
1. These are two appeals filed with certificates under Article 133(1) of the Constitution against the
Judgment and Order of the High Court of Judicature at Bombay setting aside the order passed by
the District Judge, Ahmedabad.
2. The National Mills Company Limited, Ahmedabad, hereinafter referred to as the National Mills,
was ordered to be compulsorily wound up by an order of the Joint Judge, Ahmedabad, dated
14-3-1950 and Trikamlal J., Patel, Manyantray T. Mehta (since deceased) and Krishnalal B. Dave
were appointed liquidators of the National Mills. The liquidators, invited sealed tenders for the
purchase of the mills, land, bungalow, warehouses, etc, and the Himabhai Manufacturing Company,
Limited,. Ahmedabad, hereinafter referred to as the Himabhai Company, submitted their tender on
15-9-1953 offering to purchase the same.
The said offer was sanctioned by the Court on 22-9-1953 and an agreement was entered into
between the liquidators and the Himabhai Company for the sale of the properties therein mentioned
for a consideration of Rs. 12,68,000/-. Rs. 3,00,000/- were to be paid in cash and the balance in
1936 shares of the Himabhai Company which were taken to be of the value of Rs. 500/- per share.
There were 484 shares of the National Mills held by 232 shareholders.
It was then contemplated that, after the payment o"
A V Fernandez vs The State Of Kerala,A. V. FERNANDEZ,THE STATE OF KERALA,1957,2 April 1957,,,Article 132,1957 AIR 657; 1957 SCR 837,,"The business of the appellant consisted in the purchase of copra, manufacture of cocoanut oil and cake therefrom and sale of oil and cake to parties inside the State of Travancore-Cochin and sale of oil to parties outside the State. Before the coming into force of the Constitution of India, under th",A_V_Fernandez_vs_The_State_Of_Kerala_on_2_April_1957_1.PDF,1957,"A. V. Fernandez vs The State Of Kerala on 2 April, 1957
Equivalent citations: 1957 AIR 657, 1957 SCR 837
Author: Natwarlal H. Bhagwati
Bench: Natwarlal H. Bhagwati, B. Jagannadhadas, Syed Jaffer Imam, P.
Govinda Menon, J.L. Kapur
           PETITIONER:
A.   V. FERNANDEZ
        Vs.
RESPONDENT:
THE STATE OF KERALA
DATE OF JUDGMENT:
02/04/1957
BENCH:
BHAGWATI, NATWARLAL H.
BENCH:
BHAGWATI, NATWARLAL H.
JAGANNADHADAS, B.
IMAM, SYED JAFFER
MENON, P. GOVINDA
KAPUR, J.L.
CITATION:
 1957 AIR  657            1957 SCR  837
ACT:
 Sales  Tax-Assessment--Gross and net turnover--Purchase  of
copra--Sale  of  oil  both inside  and  outside  the  State-
Deductions- -Assessable turnover-Constitution of India, Art.
286--Travancore-Cochin  General Sales Tax Act, 1125 (Act  XI
of  1125  M.E.),  SS. 2 (j)  (k),  3,  26--Travancore-Cochin
General Sales Tax Rules, 1950, rr. 7 (k), 20 (2).
HEADNOTE:
  The business of the appellant consisted in the purchase of
copra,  manufacture of cocoanut oil and cake  therefrom  and
sale  of  oil  and  cake to  parties  inside  the  State  of
Travancore-Cochin  and  sale of oil to parties  outside  the
State.  Before the coming into force of the Constitution  of
India, under the provisions of the Travancore-Cochin General
A. V. Fernandez vs The State Of Kerala on 2 April, 1957
Indian Kanoon - http://indiankanoon.org/doc/1350547/
1
Sales Tax Act, 1125, and the rules made thereunder, for  the
purposes  of  assessment  to sales tax,  the  appellant  wag
entitled to"
The Commissioner Of Income Tax Bombay vs The Provident Investment Co Ltd,"THE COMMISSIONER OF INCOME-TAX, BOMBAY","THE PROVIDENT INVESTMENT CO., LTD.",1957,15 May 1957,,,,1957 AIR 664; 1957 SCR 1141,,"The respondent company was the managing agent of two other companies holding certain shares therein. D wrote two The Commissioner Of Income-Tax, Bombay vs The Provident Investment Co., Ltd on 15 May, 1957 Indian Kanoon - http://indiankanoon.org/doc/1419030/ 1 letters to the respondent on September 1",The_Commissioner_Of_Income_Tax_Bombay_vs_The_Provident_Investment_Co_Ltd_on_15_May_1957_1.PDF,1957,"The Commissioner Of Income-Tax, Bombay vs The Provident
Investment Co., Ltd on 15 May, 1957
Equivalent citations: 1957 AIR 664, 1957 SCR 1141, AIR 1957 SUPREME
COURT 664, 1957 32 ILR 190, 1957 SCJ 679, 1959 BOM LR 925
Author: A.K. Sarkar
Bench: A.K. Sarkar, S.K. Das, Natwarlal H. Bhagwati, P. Govinda Menon, J.L.
Kapur
           PETITIONER:
THE COMMISSIONER OF INCOME-TAX, BOMBAY
        Vs.
RESPONDENT:
THE PROVIDENT INVESTMENT CO., LTD.
DATE OF JUDGMENT:
15/05/1957
BENCH:
SARKAR, A.K.
BENCH:
SARKAR, A.K.
DAS, S.K.
BHAGWATI, NATWARLAL H.
MENON, P. GOVINDA
KAPUR, J.L.
CITATION:
 1957 AIR  664            1957 SCR 1141
ACT:
Income  Tax-Capital gains-Managing agent of company  holding
shares  therein-Agreement  of sale of  shares  and  Managing
Agency-Sale  of shares-Rclinquishment of Managing Agency  by
way  of  Resignation--if amounts to a sale  or  transfer  of
Managing  Agency-Agreed Statement of Case for  reference  to
High Court--Whether binding on the parties-Indian Income-tax
Act, 1922 (XI Of 1922), S. 12B.
HEADNOTE:
The  respondent company was the managing agent of two  other
companies  holding  certain  shares therein.   D  wrote  two
The Commissioner Of Income-Tax, Bombay vs The Provident Investment Co., Ltd on 15 May, 1957
Indian Kanoon - http://indiankanoon.org/doc/1419030/
1
letters to the respondent on September 14, 1946, offering to
purchase  some  of those shares together with  the  managing
agency and agreeing to pay certain sums as earnest money  on
the acceptan"
